==== This output can be found in Systems/dx986/os/ctctrl-q-c_all.txt ====
==== START ctctrl -q -c all Tue Jul  7 00:44:37 GST 2015 ====
---------------------------------------+-------+-------+-------+---------------
                                       | Have  |Mem Trc|Sys Trc| Buffer size
     Component name                    | alias | /level| /level| /Allocated
---------------------------------------+-------+-------+-------+---------------
          .mpio939                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk940                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio940                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk941                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio941                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk942                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio942                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk943                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio943                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk944                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio944                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk945                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio945                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk946                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio946                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk947                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio947                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk948                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio948                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk949                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio949                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk950                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio950                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk951                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio951                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk952                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio952                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk953                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio953                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk954                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio954                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk955                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio955                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk956                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio956                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk957                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio957                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk958                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio958                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk959                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio959                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk960                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio960                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk961                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio961                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk962                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio962                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk963                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio963                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk964                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio964                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk965                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio965                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk966                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio966                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk967                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio967                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk968                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio968                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk969                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio969                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk970                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio970                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk971                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio971                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk972                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio972                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk973                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio973                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk974                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio974                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk975                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio975                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk976                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio976                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk977                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio977                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk978                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio978                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk979                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio979                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk980                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio980                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk981                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio981                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk982                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio982                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk983                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio983                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk984                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio984                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk985                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio985                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk986                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio986                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk987                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio987                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk988                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio988                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk989                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio989                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk990                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio990                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk991                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio991                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk992                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio992                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk993                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio993                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk994                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio994                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk995                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio995                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk996                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio996                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk997                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio997                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk998                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio998                     |  NO   |  ON/3 |  ON/3 |       4096/YES
     .hdisk999                         |  YES  |  ON/3 |  ON/3 |       6400/YES
          .bufx                        |  NO   | OFF/0 |  ON/0 |       6400/ NO
          .mpio999                     |  NO   |  ON/3 |  ON/3 |       4096/YES
socket                                 |  NO   |  ON/1 |  ON/7 |      40960/YES
     .so_unix                          |  NO   |  ON/1 |  ON/7 |      10240/YES
storfwork                              |  NO   |  ON/3 |  ON/3 |       6400/YES
vdev
     vio0
          .handle1                     |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle10                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle11                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle12                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle13                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle14                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle15                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle16                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle17                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle18                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle19                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle2                     |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle20                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle21                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle22                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle23                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle24                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle25                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle26                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle27                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle28                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle29                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle3                     |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle30                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle31                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle32                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle33                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle34                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle35                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle36                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle37                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle38                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle39                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle40                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle41                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle42                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle43                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle44                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle45                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle46                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle47                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle48                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle49                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle50                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle51                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle52                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle53                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle54                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle58                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle59                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle60                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle61                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle62                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle63                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle64                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle65                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle66                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle67                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle68                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle69                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle7                     |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle70                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle71                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle72                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle73                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle74                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle75                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle76                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle77                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle78                    |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle8                     |  NO   |  ON/3 |  ON/3 |        512/YES
          .handle9                     |  NO   |  ON/3 |  ON/3 |        512/YES
vfcdd
     .fcs0                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs1                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs3                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs4                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs5                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs6                             |  YES  |  ON/3 |  ON/3 |      64000/YES
     .fcs7                             |  YES  |  ON/3 |  ON/3 |      64000/YES
vioentdd
     .dd                               |  NO   |  ON/3 |  ON/3 |     524288/YES
          .ent0                        |  YES  |  ON/3 |  ON/3 |      32768/YES
               .ffdc                   |  NO   |  ON/3 |  ON/3 |      65536/YES
               .managers               |  NO   |  ON/3 |  ON/3 |      65536/YES
               .other                  |  NO   |  ON/3 |  ON/3 |      32768/YES
               .receive                |  NO   |  ON/3 |  ON/3 |      32768/YES
               .transmit               |  NO   |  ON/3 |  ON/3 |      32768/YES
          .ent1                        |  YES  |  ON/3 |  ON/3 |      32768/YES
               .ffdc                   |  NO   |  ON/3 |  ON/3 |      65536/YES
               .managers               |  NO   |  ON/3 |  ON/3 |      65536/YES
               .other                  |  NO   |  ON/3 |  ON/3 |      32768/YES
               .receive                |  NO   |  ON/3 |  ON/3 |      32768/YES
               .transmit               |  NO   |  ON/3 |  ON/3 |      32768/YES
          .ent2                        |  YES  |  ON/3 |  ON/3 |      32768/YES
               .ffdc                   |  NO   |  ON/3 |  ON/3 |      65536/YES
               .managers               |  NO   |  ON/3 |  ON/3 |      65536/YES
               .other                  |  NO   |  ON/3 |  ON/3 |      32768/YES
               .receive                |  NO   |  ON/3 |  ON/3 |      32768/YES
               .transmit               |  NO   |  ON/3 |  ON/3 |      32768/YES
          .ent3                        |  YES  |  ON/3 |  ON/3 |      32768/YES
               .ffdc                   |  NO   |  ON/3 |  ON/3 |      65536/YES
     .ffdc                             |  NO   |  ON/3 |  ON/3 |    2097152/YES
vmm
     .adsp                             |  NO   |  ON/3 |  ON/3 |          0/ NO
     .chlmb                            |  NO   |  ON/3 |  ON/3 |       8192/YES
     .cmem                             |  NO   |  ON/3 |  ON/3 |          0/ NO
     .dr                               |  NO   |  ON/3 |  ON/3 |      65536/YES
     .internal                         |  NO   |  ON/3 |  ON/3 |      65536/YES
     .loan                             |  NO   |  ON/3 |  ON/3 |          0/ NO
     memp
          .mempLRU                     |  NO   | OFF/3 |  ON/3 |          0/ NO
               .mempLRU0               |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempLRU1               |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempLRU2               |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempLRU3               |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempLRU4               |  YES  |  ON/3 |  ON/3 |      16384/YES
          .mempPSMD                    |  NO   | OFF/3 |  ON/3 |          0/ NO
               .mempPSMD0              |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempPSMD1              |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempPSMD2              |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempPSMD3              |  YES  |  ON/3 |  ON/3 |      16384/YES
               .mempPSMD4              |  YES  |  ON/3 |  ON/3 |      16384/YES
     .pdt                              |  YES  | OFF/3 |  ON/3 |          0/ NO
          .pdt0                        |  YES  |  ON/3 |  ON/3 |          0/ NO
          .pdt80                       |  YES  |  ON/3 |  ON/3 |          0/ NO
