NTP,OS,fileprint_etc_ntp_conf.txt
DNS,,
Sysdump,HW,lsdev-^C_awk_print_n_Device_1_system_lsattr-^El_1.txt
Pagespace,OS,for_i_in_lsps-a_cut-d-f1_line_dev_null_cat_sort_do.txt
min_buf_tiny=4096 -a max_buf_tiny=4096 ÐP ,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
min_buf_small=4096 -a max_buf_small=4096 ÐP,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
min_buf_medium=2048 -a max_buf_medium=2048 ÐP,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
min_buf_large=256 -a max_buf_large=256 ÐP,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
min_buf_huge=128 -a max_buf_huge=128 ÐP,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
mtu_bypass=on,OS,odmget_CuAt.txt,HW,lsdevinfo.txt
ha_mode=sharing,HW,lsdevinfo.txt
hash_mode=src_dst_port,HW,lsdevinfo.txt
what_is_Long=long,HW,lsdevinfo.txt
largesend=true,HW,lsdevinfo.txt
dyntrk=yes,HW,lsdevinfo.txt
c_err_recov=fast_fail,HW,lsdevinfo.txt
max_xfer_size = default which is 0x100000,HW,lsdevinfo.txt
num_cmd_elems=4096,HW,lsdevinfo.txt
queue_depth=32,HW,lsdevinfo.txt
vmm_klock_mode=2,OS,vmo-a.txt
Primary=/dev/lg_dumplv,OS,sysdumpdev-l.txt
secondary=/dev/sysdumpnull,OS,sysdumpdev-l.txt
copy directory=/var/adm/ras,OS,sysdumpdev-l.txt
forced copy flag=TRUE,OS,sysdumpdev-l.txt
always allow dump=TRUE,OS,sysdumpdev-l.txt
dump compression=ON,OS,sysdumpdev-l.txt
type of dump=fw-assisted,OS,sysdumpdev-l.txt
full memory dump=allow,OS,sysdumpdev-l.txt
fsize = -1 ,secure,fileprint_etc_security_limits.txt
core = 2097151 ,secure,fileprint_etc_security_limits.txt
cpu = -1 ,secure,fileprint_etc_security_limits.txt
data = -1 ,secure,fileprint_etc_security_limits.txt
rss = -1 ,secure,fileprint_etc_security_limits.txt
stack = -1 ,secure,fileprint_etc_security_limits.txt
nofiles = -1,secure,fileprint_etc_security_limits.txt
maxuproc = 16384,HW,lsdevinfo.txt
ipqmaxlen=512,network,no-a.txt
rfc1323=1 ,network,no-a.txt
sb_max=1310720,network,no-a.txt
tcp_recvspace=262144,network,no-a.txt
tcp_sendspace=262144,network,no-a.txt
udp_recvspace=655360,network,no-a.txt
udp_sendspace=65536,network,no-a.txt
bos.adt.base,OS,lslpp-l.txt 
bos.adt.lib,OS,lslpp-l.txt 
bos.adt.libm,OS,lslpp-l.txt 
bos.perf.libperfstats,OS,lslpp-l.txt 
bos.perf.perfstatOS,lslpp-l.txt
bos.perf.proctools,OS,lslpp-l.txt 
bos.cifs_fs.rte,OS,lslpp-l.txt 
rsct.basic.rte,OS,lslpp-l.txt 
rsct.compat.clients.rte,OS,lslpp-l.txt 
xlC.aix50.rte,OS,lslpp-l.txt 
xlC.rte ",OS,lslpp-l.txt
PowerHA 7.1.3,ha,halevel-s.txt
