==== This output can be found in Systems/dx1010/vio/VIOCLI_lsdev-virtual.txt ====
==== START $VIOCLI lsdev -virtual Tue Jul  7 13:20:24 CDT 2015 ====
name             status      description
ent8             Available   Virtual I/O Ethernet Adapter (l-lan)
ent9             Available   Virtual I/O Ethernet Adapter (l-lan)
ent10            Available   Virtual I/O Ethernet Adapter (l-lan)
ent11            Available   Virtual I/O Ethernet Adapter (l-lan)
ent12            Available   Virtual I/O Ethernet Adapter (l-lan)
ent13            Available   Virtual I/O Ethernet Adapter (l-lan)
ent14            Available   Virtual I/O Ethernet Adapter (l-lan)
ent15            Available   Virtual I/O Ethernet Adapter (l-lan)
vasi0            Available   Virtual Asynchronous Services Interface (VASI)
vbsd0            Available   Virtual Block Storage Device (VBSD)
vfchost0         Available   Virtual FC Server Adapter
vfchost1         Available   Virtual FC Server Adapter
vfchost2         Available   Virtual FC Server Adapter
vfchost3         Available   Virtual FC Server Adapter
vfchost4         Available   Virtual FC Server Adapter
vfchost5         Available   Virtual FC Server Adapter
vfchost6         Available   Virtual FC Server Adapter
vfchost7         Available   Virtual FC Server Adapter
vfchost8         Available   Virtual FC Server Adapter
vfchost9         Available   Virtual FC Server Adapter
vfchost10        Available   Virtual FC Server Adapter
vfchost11        Available   Virtual FC Server Adapter
vfchost12        Available   Virtual FC Server Adapter
vfchost13        Available   Virtual FC Server Adapter
vfchost14        Available   Virtual FC Server Adapter
vfchost15        Available   Virtual FC Server Adapter
vfchost16        Available   Virtual FC Server Adapter
vfchost17        Available   Virtual FC Server Adapter
vfchost18        Available   Virtual FC Server Adapter
vfchost19        Available   Virtual FC Server Adapter
vhost0           Available   Virtual SCSI Server Adapter
vhost1           Available   Virtual SCSI Server Adapter
vhost2           Available   Virtual SCSI Server Adapter
vhost3           Available   Virtual SCSI Server Adapter
vhost4           Available   Virtual SCSI Server Adapter
vhost5           Available   Virtual SCSI Server Adapter
vhost6           Available   Virtual SCSI Server Adapter
vhost7           Available   Virtual SCSI Server Adapter
vhost8           Available   Virtual SCSI Server Adapter
vhost9           Available   Virtual SCSI Server Adapter
vhost10          Available   Virtual SCSI Server Adapter
vhost11          Available   Virtual SCSI Server Adapter
vhost12          Available   Virtual SCSI Server Adapter
vhost13          Available   Virtual SCSI Server Adapter
vhost14          Available   Virtual SCSI Server Adapter
vhost15          Available   Virtual SCSI Server Adapter
vhost16          Available   Virtual SCSI Server Adapter
vhost17          Available   Virtual SCSI Server Adapter
vhost18          Available   Virtual SCSI Server Adapter
vhost19          Available   Virtual SCSI Server Adapter
vhost20          Available   Virtual SCSI Server Adapter
vhost21          Available   Virtual SCSI Server Adapter
vhost22          Available   Virtual SCSI Server Adapter
vhost23          Available   Virtual SCSI Server Adapter
vhost24          Available   Virtual SCSI Server Adapter
vhost25          Available   Virtual SCSI Server Adapter
vhost26          Available   Virtual SCSI Server Adapter
vhost27          Available   Virtual SCSI Server Adapter
vhost28          Available   Virtual SCSI Server Adapter
vhost29          Available   Virtual SCSI Server Adapter
vhost30          Available   Virtual SCSI Server Adapter
vhost31          Available   Virtual SCSI Server Adapter
vhost32          Available   Virtual SCSI Server Adapter
vhost33          Available   Virtual SCSI Server Adapter
vhost34          Available   Virtual SCSI Server Adapter
vsa0             Available   LPAR Virtual Serial Adapter
vtopt0           Available   Virtual Target Device - File-backed Optical
vtscsi0          Available   Virtual Target Device - Logical Volume
vtscsi1          Available   Virtual Target Device - Logical Volume
vtscsi2          Available   Virtual Target Device - Logical Volume
vtscsi3          Available   Virtual Target Device - Logical Volume
